Mothers qualification,Fathers qualification,Gender,Curricular units 1st sem (enrolled),Target
13,10,1,0,Dropout
1,3,1,6,Graduate
22,27,1,6,Dropout
23,27,0,6,Graduate
22,28,0,6,Graduate
22,27,1,5,Graduate
13,28,0,7,Graduate
22,27,1,5,Dropout
1,1,0,6,Graduate
1,14,0,6,Dropout
23,14,0,6,Graduate
13,28,0,8,Graduate
13,27,0,6,Dropout
1,1,0,6,Graduate
23,27,0,5,Graduate
13,27,0,6,Dropout
13,1,0,7,Graduate
3,14,0,5,Graduate
1,1,0,0,Graduate
13,14,0,8,Graduate
1,28,0,6,Graduate
13,14,0,7,Graduate
13,28,0,6,Graduate
13,1,0,5,Graduate
27,3,1,6,Graduate
13,1,0,6,Graduate
2,27,1,5,Graduate
23,27,1,7,Dropout
19,27,1,5,Dropout
22,27,0,5,Dropout
13,14,0,5,Graduate
4,4,0,6,Dropout
3,3,0,6,Dropout
3,14,0,5,Graduate
1,3,0,7,Graduate
1,28,0,6,Dropout
22,27,0,5,Dropout
13,14,0,6,Graduate
22,14,0,7,Graduate
1,14,0,6,Graduate
22,28,0,6,Graduate
13,28,0,6,Graduate
22,27,0,5,Graduate
23,28,0,5,Dropout
1,14,0,7,Graduate
1,3,0,6,Dropout
3,3,0,6,Dropout
23,28,0,8,Graduate
13,14,0,7,Graduate
13,1,0,6,Graduate
1,1,1,7,Dropout
13,14,1,0,Graduate
13,27,1,6,Graduate
1,28,1,5,Dropout
22,14,1,7,Graduate
13,14,1,0,Dropout
23,27,1,6,Dropout
23,28,1,6,Graduate
13,14,1,5,Dropout
13,27,1,6,Dropout
1,14,1,6,Graduate
23,27,1,7,Graduate
22,27,1,6,Graduate
13,14,1,6,Dropout
3,3,1,1,Dropout
3,3,1,12,Dropout
22,27,0,6,Graduate
22,28,0,8,Graduate
1,14,0,5,Graduate
13,28,1,6,Graduate
1,1,1,7,Dropout
13,1,0,6,Graduate
1,1,0,6,Dropout
22,24,0,6,Dropout
22,14,0,8,Graduate
22,1,0,6,Graduate
22,27,0,7,Graduate
3,3,0,7,Dropout
23,28,0,10,Dropout
1,1,0,0,Graduate
22,27,0,6,Dropout
22,27,0,18,Graduate
13,14,0,6,Dropout
3,1,0,10,Graduate
22,28,0,6,Dropout
1,1,0,6,Dropout
3,4,0,7,Dropout
22,27,0,6,Graduate
13,14,0,5,Graduate
1,28,0,6,Graduate
22,27,0,7,Dropout
22,28,0,5,Graduate
2,14,0,5,Graduate
1,1,0,6,Dropout
13,14,0,5,Graduate
3,14,0,0,Dropout
23,28,0,5,Graduate
13,28,0,6,Graduate
1,1,0,7,Dropout
22,27,0,6,Graduate
1,29,0,6,Graduate
1,27,0,7,Graduate
13,14,0,7,Dropout
22,27,0,6,Graduate
1,14,0,5,Graduate
1,14,0,7,Dropout
23,27,0,9,Graduate
1,28,0,6,Dropout
13,14,0,5,Graduate
1,1,0,6,Graduate
13,1,0,7,Graduate
22,27,0,7,Graduate
13,1,0,6,Graduate
1,10,0,6,Graduate
13,14,0,7,Graduate
22,28,0,6,Graduate
10,14,0,5,Dropout
1,27,0,6,Dropout
3,14,0,5,Graduate
1,14,0,7,Graduate
1,28,0,5,Graduate
22,27,0,6,Graduate
3,27,0,6,Dropout
23,27,0,6,Dropout
23,28,0,5,Graduate
1,27,0,6,Graduate
13,1,0,6,Graduate
1,14,0,6,Graduate
13,1,0,6,Dropout
13,27,0,7,Graduate
13,14,0,7,Graduate
10,10,0,6,Dropout
1,14,0,5,Graduate
13,27,0,6,Graduate
13,14,0,6,Graduate
2,2,0,8,Graduate
13,14,0,6,Dropout
22,27,0,7,Graduate
2,28,0,7,Graduate
13,2,0,6,Graduate
22,27,0,6,Dropout
22,14,0,6,Graduate
19,24,0,7,Dropout
22,14,0,6,Dropout
1,1,0,7,Dropout
3,1,0,21,Graduate
13,14,0,6,Dropout
1,27,0,6,Dropout
1,14,0,6,Dropout
3,3,0,5,Dropout
23,1,0,7,Graduate
1,14,0,6,Dropout
1,3,0,6,Graduate
13,28,0,6,Graduate
10,3,0,5,Dropout
1,1,0,6,Dropout
23,28,0,8,Graduate
13,1,0,5,Dropout
22,27,0,8,Graduate
3,2,0,5,Dropout
13,14,0,7,Graduate
1,1,0,5,Graduate
13,14,0,6,Graduate
13,14,0,8,Graduate
23,28,0,6,Graduate
13,27,0,6,Graduate
19,24,0,6,Graduate
13,28,0,8,Graduate
3,14,0,6,Graduate
13,1,0,6,Graduate
3,14,0,6,Dropout
23,1,0,8,Graduate
22,27,0,7,Graduate
1,3,0,6,Graduate
22,27,0,5,Dropout
1,1,0,6,Graduate
13,3,0,5,Graduate
13,27,0,6,Dropout
1,14,0,6,Dropout
13,27,0,5,Dropout
23,28,0,5,Graduate
22,27,0,6,Graduate
1,1,0,6,Dropout
13,1,0,7,Graduate
1,28,0,7,Graduate
25,5,0,6,Graduate
1,4,0,5,Graduate
1,1,0,6,Graduate
19,24,0,5,Dropout
1,1,0,8,Graduate
1,27,0,6,Graduate
13,14,0,6,Dropout
1,3,0,5,Graduate
1,27,0,6,Graduate
22,1,0,5,Dropout
23,27,0,6,Graduate
13,14,0,6,Graduate
22,27,0,6,Graduate
13,1,0,5,Dropout
13,14,0,6,Dropout
22,14,0,5,Graduate
22,1,0,5,Dropout
23,14,0,10,Graduate
13,28,0,8,Graduate
13,27,0,8,Graduate
22,27,0,6,Dropout
13,27,0,6,Graduate
13,1,0,6,Graduate
23,27,0,6,Dropout
7,14,0,5,Graduate
1,1,0,5,Graduate
23,27,0,7,Dropout
22,27,0,5,Graduate
1,1,0,6,Graduate
1,1,0,10,Dropout
22,28,0,6,Graduate
22,27,0,6,Dropout
22,28,0,12,Dropout
1,1,0,6,Graduate
23,14,0,6,Graduate
3,1,0,6,Graduate
4,1,0,8,Graduate
23,28,0,6,Graduate
22,27,0,6,Graduate
1,1,0,8,Graduate
22,28,0,6,Graduate
1,14,0,5,Dropout
10,14,0,5,Graduate
5,1,0,7,Graduate
1,28,0,6,Graduate
10,1,0,7,Graduate
22,28,0,6,Dropout
5,4,0,9,Dropout
13,14,0,7,Graduate
23,27,0,5,Graduate
24,14,0,6,Graduate
22,27,0,5,Graduate
13,27,0,6,Graduate
23,28,0,6,Graduate
1,1,0,6,Graduate
19,1,0,6,Graduate
3,1,0,6,Graduate
3,3,0,8,Graduate
13,14,0,6,Graduate
13,27,0,6,Graduate
13,14,0,6,Graduate
23,27,0,6,Dropout
3,28,0,8,Graduate
13,28,0,6,Graduate
1,1,0,6,Graduate
1,1,0,7,Graduate
13,28,0,8,Graduate
23,28,0,6,Graduate
23,27,0,5,Graduate
13,14,0,7,Graduate
13,14,0,5,Dropout
1,9,0,6,Dropout
1,14,0,6,Graduate
3,1,0,5,Dropout
9,9,0,5,Graduate
22,27,0,6,Dropout
3,14,0,6,Graduate
19,24,0,6,Dropout
13,14,0,5,Graduate
23,28,0,6,Graduate
1,1,0,5,Dropout
1,28,0,5,Graduate
13,14,0,7,Graduate
26,14,0,7,Graduate
13,28,0,6,Graduate
13,14,0,3,Dropout
22,27,0,8,Graduate
1,1,0,7,Graduate
22,27,0,10,Graduate
13,14,0,6,Graduate
1,27,0,7,Graduate
1,1,0,6,Graduate
13,27,0,5,Dropout
23,28,0,6,Graduate
22,28,0,6,Graduate
19,27,0,6,Graduate
23,27,0,6,Graduate
26,3,0,7,Graduate
23,28,0,8,Graduate
3,1,0,6,Graduate
2,7,0,5,Graduate
3,3,0,0,Dropout
22,27,0,6,Graduate
3,3,0,6,Graduate
13,14,0,6,Graduate
22,27,0,5,Graduate
22,27,0,6,Graduate
13,14,0,6,Dropout
13,14,0,6,Graduate
1,1,0,0,Dropout
22,28,0,7,Graduate
13,14,0,6,Dropout
13,1,0,6,Graduate
23,27,0,7,Graduate
22,27,0,5,Dropout
3,29,0,6,Dropout
13,28,0,6,Graduate
22,28,0,6,Dropout
13,27,0,11,Graduate
22,28,0,6,Graduate
13,28,0,7,Graduate
23,27,0,7,Graduate
13,14,0,8,Dropout
22,29,0,11,Graduate
1,14,0,6,Graduate
1,27,0,5,Graduate
23,28,0,6,Dropout
22,27,0,5,Dropout
1,1,0,7,Graduate
23,14,0,7,Dropout
13,14,0,6,Graduate
3,4,0,11,Graduate
19,24,0,6,Graduate
22,27,0,6,Graduate
22,27,0,14,Graduate
22,27,0,6,Graduate
18,27,0,6,Dropout
1,1,0,5,Dropout
1,14,0,6,Graduate
1,1,0,8,Graduate
3,14,0,11,Graduate
23,27,0,6,Graduate
22,14,0,6,Dropout
23,27,0,5,Dropout
22,27,0,8,Graduate
1,14,0,0,Graduate
1,14,0,13,Graduate
1,14,0,5,Graduate
1,14,0,6,Graduate
19,24,0,5,Dropout
13,14,0,8,Graduate
13,1,0,8,Graduate
1,1,0,7,Graduate
22,27,0,5,Graduate
1,28,0,6,Graduate
22,27,0,5,Graduate
1,1,0,6,Graduate
13,14,0,6,Dropout
22,27,0,7,Graduate
1,14,0,7,Dropout
2,1,0,7,Graduate
1,2,0,7,Graduate
1,2,0,6,Dropout
3,1,0,8,Graduate
13,2,0,7,Graduate
22,27,0,7,Graduate
23,28,0,6,Graduate
13,1,0,5,Dropout
13,28,0,6,Graduate
22,28,0,8,Graduate
22,27,0,6,Graduate
23,28,0,5,Graduate
1,1,0,7,Dropout
1,14,0,6,Graduate
13,14,0,8,Graduate
13,27,0,6,Graduate
7,1,0,6,Dropout
22,27,0,7,Graduate
13,28,0,8,Graduate
13,14,0,8,Graduate
13,14,0,5,Graduate
22,14,0,6,Graduate
3,1,0,7,Graduate
1,14,0,7,Dropout
1,14,0,6,Graduate
23,27,0,8,Graduate
22,27,0,8,Graduate
13,14,0,7,Graduate
13,27,0,5,Graduate
19,24,0,6,Graduate
23,27,0,6,Dropout
22,14,0,6,Dropout
1,14,0,12,Graduate
22,27,0,6,Graduate
3,3,0,5,Graduate
13,14,0,11,Graduate
3,1,0,6,Graduate
3,1,0,5,Graduate
3,3,0,10,Dropout
19,24,0,16,Graduate
13,28,0,8,Graduate
22,27,0,6,Graduate
1,27,0,8,Graduate
13,28,0,6,Graduate
23,14,0,6,Dropout
13,14,0,7,Graduate
19,24,0,5,Dropout
1,14,0,5,Graduate
13,14,0,2,Dropout
19,24,0,7,Dropout
3,1,0,7,Graduate
1,1,0,7,Graduate
1,14,0,8,Graduate
3,1,0,7,Dropout
1,14,0,7,Graduate
1,27,0,6,Graduate
23,14,0,6,Dropout
1,14,0,6,Dropout
22,27,0,7,Graduate
23,28,0,7,Graduate
13,1,0,6,Graduate
22,27,0,6,Graduate
1,3,0,7,Graduate
13,27,0,5,Dropout
22,28,0,7,Dropout
1,14,0,6,Graduate
13,28,0,6,Graduate
23,28,0,8,Graduate
23,28,0,6,Graduate
3,3,0,5,Dropout
22,1,0,8,Graduate
13,1,0,6,Graduate
5,5,0,5,Dropout
1,14,0,5,Dropout
19,24,0,5,Dropout
19,24,0,5,Graduate
22,14,0,4,Dropout
22,27,0,5,Dropout
22,27,0,6,Dropout
22,14,0,6,Graduate
1,1,0,6,Dropout
19,24,0,6,Dropout
22,27,0,6,Dropout
22,1,0,8,Graduate
3,14,0,5,Graduate
3,27,0,6,Graduate
1,1,0,5,Graduate
5,3,0,7,Dropout
1,1,1,5,Dropout
3,1,1,0,Graduate
22,27,1,5,Dropout
3,3,1,6,Dropout
13,27,1,6,Dropout
4,2,1,8,Graduate
1,14,1,6,Dropout
4,4,1,0,Graduate
3,3,1,5,Graduate
3,3,1,5,Dropout
3,14,1,6,Graduate
13,28,1,6,Graduate
13,1,1,6,Dropout
13,14,1,7,Graduate
1,14,1,6,Graduate
1,1,1,7,Graduate
13,28,1,5,Graduate
10,14,1,5,Dropout
13,1,1,6,Dropout
10,10,1,11,Dropout
1,2,1,5,Dropout
1,1,1,5,Dropout
3,2,1,14,Dropout
22,27,1,0,Graduate
1,3,1,8,Graduate
3,28,1,12,Graduate
1,1,1,5,Dropout
13,28,1,6,Graduate
1,1,1,6,Graduate
13,14,1,6,Graduate
4,1,1,3,Dropout
19,26,1,5,Dropout
23,14,1,5,Graduate
3,4,1,6,Graduate
1,1,1,6,Graduate
23,27,1,5,Dropout
13,3,1,5,Dropout
13,10,1,0,Graduate
1,1,1,5,Dropout
3,1,1,8,Graduate
22,27,0,6,Graduate
22,27,0,6,Graduate
19,5,0,6,Dropout
10,1,0,7,Graduate
22,28,0,5,Graduate
22,27,0,6,Graduate
1,14,0,5,Graduate
23,14,0,5,Graduate
23,28,0,6,Graduate
22,27,0,6,Graduate
22,1,0,7,Graduate
13,1,0,6,Graduate
22,1,0,6,Graduate
22,27,0,15,Dropout
23,10,0,6,Dropout
22,1,0,7,Dropout
13,27,0,6,Graduate
23,27,0,18,Graduate
13,28,0,6,Dropout
13,28,0,6,Dropout
1,1,0,7,Graduate
1,1,0,6,Graduate
1,27,0,7,Graduate
7,1,0,0,Dropout
13,3,0,5,Dropout
23,14,0,8,Graduate
13,28,0,6,Dropout
22,27,0,7,Graduate
1,27,0,6,Graduate
1,1,0,6,Graduate
13,27,0,8,Graduate
1,27,0,8,Graduate
22,27,0,6,Graduate
22,27,0,7,Graduate
13,27,0,7,Graduate
3,14,0,6,Graduate
1,28,0,5,Dropout
23,28,0,6,Dropout
23,27,0,8,Graduate
23,27,0,6,Dropout
13,14,0,6,Dropout
22,28,0,9,Graduate
13,27,0,7,Graduate
1,28,0,6,Graduate
13,27,0,6,Graduate
13,27,0,8,Graduate
1,14,0,7,Graduate
23,28,0,7,Graduate
22,27,0,6,Graduate
22,27,0,6,Graduate
22,27,0,8,Graduate
1,1,0,6,Graduate
1,1,0,6,Dropout
22,27,0,6,Dropout
23,28,0,6,Dropout
13,14,0,5,Graduate
1,14,0,7,Graduate
1,28,0,5,Graduate
13,1,0,6,Graduate
1,5,0,8,Graduate
23,28,0,6,Graduate
13,28,0,6,Graduate
1,28,0,16,Graduate
1,14,0,6,Graduate
13,14,0,6,Dropout
1,3,0,6,Graduate
1,14,0,6,Graduate
22,27,0,5,Graduate
3,3,1,7,Graduate
3,3,0,5,Graduate
22,28,0,6,Dropout
23,28,0,11,Graduate
1,14,0,7,Dropout
13,27,0,17,Graduate
22,1,0,6,Graduate
22,28,0,11,Dropout
1,14,0,7,Graduate
13,14,0,6,Graduate
23,28,0,6,Graduate
22,27,0,6,Dropout
1,14,0,6,Graduate
22,27,1,6,Dropout
3,3,0,0,Graduate
13,28,0,6,Graduate
1,1,0,6,Graduate
1,1,0,5,Dropout
22,27,0,6,Dropout
22,27,1,12,Graduate
22,27,1,10,Graduate
22,27,1,3,Dropout
23,14,1,7,Graduate
22,1,1,5,Graduate
22,27,1,5,Dropout
22,28,1,6,Dropout
22,27,1,19,Graduate
23,27,1,7,Dropout
2,1,1,5,Graduate
3,1,1,5,Dropout
22,27,1,6,Graduate
1,28,1,6,Graduate
22,28,1,5,Dropout
22,14,1,5,Dropout
5,5,1,4,Dropout
22,27,1,5,Dropout
22,27,1,9,Graduate
22,27,1,5,Dropout
13,1,1,10,Graduate
22,27,1,18,Graduate
1,14,1,11,Graduate
22,9,1,6,Dropout
23,28,1,5,Dropout
22,27,1,5,Dropout
22,27,1,5,Graduate
3,3,1,8,Graduate
22,27,1,5,Graduate
13,27,1,13,Graduate
19,26,1,5,Dropout
2,1,1,6,Dropout
23,28,1,10,Dropout
13,28,1,0,Graduate
22,27,1,6,Dropout
22,18,1,5,Dropout
22,28,1,7,Graduate
10,5,1,6,Graduate
22,27,1,5,Dropout
13,1,1,0,Graduate
13,27,1,6,Dropout
2,1,1,6,Graduate
1,14,1,6,Graduate
13,27,1,5,Graduate
22,27,1,6,Dropout
3,3,1,6,Graduate
22,27,1,6,Dropout
1,14,1,7,Dropout
13,14,1,6,Dropout
3,3,1,6,Graduate
3,3,1,7,Dropout
1,14,1,5,Dropout
1,1,1,6,Graduate
1,1,1,6,Dropout
1,14,1,6,Dropout
23,28,1,18,Graduate
1,1,1,5,Dropout
1,1,0,7,Graduate
23,27,0,5,Graduate
22,27,0,6,Graduate
22,27,0,8,Graduate
13,27,0,5,Dropout
22,27,1,6,Graduate
1,14,1,0,Dropout
1,1,1,6,Dropout
22,2,1,15,Dropout
1,1,1,6,Graduate
22,27,0,9,Graduate
3,3,1,18,Graduate
22,27,1,9,Graduate
1,1,1,16,Graduate
1,27,0,9,Graduate
22,27,1,9,Graduate
13,14,1,6,Graduate
1,1,0,6,Graduate
1,14,0,6,Dropout
23,1,0,6,Graduate
1,1,0,6,Dropout
2,1,0,6,Graduate
3,2,0,12,Dropout
1,14,0,6,Graduate
23,28,0,6,Graduate
1,1,0,6,Dropout
13,27,0,7,Graduate
1,24,0,6,Graduate
1,1,0,6,Graduate
3,3,0,6,Graduate
3,1,0,8,Graduate
22,27,0,5,Dropout
13,1,0,0,Graduate
1,14,0,6,Graduate
3,3,1,6,Dropout
1,30,0,6,Graduate
3,1,0,6,Graduate
13,14,0,6,Graduate
23,28,0,6,Graduate
1,1,0,7,Graduate
1,1,0,7,Graduate
1,27,0,6,Graduate
13,1,0,6,Dropout
13,14,0,5,Graduate
23,28,0,6,Graduate
1,3,0,7,Graduate
1,28,0,6,Graduate
1,3,0,4,Dropout
1,1,0,6,Dropout
13,28,0,7,Graduate
13,28,0,7,Graduate
3,4,0,7,Graduate
13,3,0,7,Graduate
1,1,0,6,Graduate
19,27,0,6,Graduate
13,14,0,5,Graduate
10,14,0,0,Graduate
13,14,0,6,Graduate
1,1,0,6,Graduate
1,3,0,6,Graduate
1,1,0,7,Dropout
1,3,0,6,Graduate
13,14,0,8,Graduate
3,14,0,6,Dropout
24,3,0,6,Dropout
19,24,0,6,Dropout
22,27,1,6,Dropout
22,27,1,5,Dropout
3,3,1,5,Dropout
3,1,1,5,Dropout
23,1,1,5,Graduate
3,3,0,5,Dropout
3,24,1,5,Dropout
22,28,0,7,Graduate
23,24,0,6,Graduate
22,27,0,0,Dropout
1,1,0,5,Graduate
13,14,0,5,Graduate
1,14,0,7,Graduate
3,3,0,7,Graduate
13,14,0,6,Graduate
1,14,1,8,Graduate
1,29,1,6,Dropout
1,14,1,6,Dropout
22,1,1,6,Dropout
13,27,1,5,Dropout
19,28,1,6,Dropout
1,2,1,5,Dropout
13,28,1,5,Dropout
1,14,1,7,Dropout
23,14,1,6,Dropout
1,1,1,6,Dropout
1,1,1,7,Graduate
1,28,1,3,Dropout
22,28,1,5,Dropout
13,14,1,6,Graduate
13,1,1,0,Graduate
1,1,1,6,Graduate
19,24,1,5,Dropout
13,14,1,15,Graduate
1,14,1,6,Graduate
23,28,1,7,Graduate
23,14,1,6,Dropout
13,14,1,7,Dropout
13,14,1,5,Graduate
13,1,1,7,Dropout
23,28,1,6,Graduate
3,2,1,0,Graduate
13,27,1,6,Dropout
22,27,1,6,Dropout
2,28,0,8,Graduate
19,24,0,10,Graduate
23,12,0,6,Graduate
22,27,0,7,Graduate
13,14,0,7,Graduate
23,28,0,6,Graduate
1,14,0,6,Graduate
22,28,0,0,Dropout
22,27,0,8,Graduate
22,10,0,5,Dropout
1,1,0,18,Graduate
1,27,0,5,Dropout
22,27,0,6,Graduate
13,27,0,12,Graduate
13,14,0,6,Graduate
13,14,0,5,Dropout
23,28,0,6,Graduate
22,28,0,8,Graduate
22,1,0,7,Graduate
13,14,0,5,Dropout
1,1,0,7,Graduate
1,1,0,6,Dropout
13,28,0,6,Graduate
23,14,0,0,Dropout
22,27,0,6,Graduate
13,1,0,5,Graduate
22,27,0,5,Dropout
22,27,0,6,Graduate
22,27,0,7,Dropout
13,14,0,6,Graduate
19,24,0,5,Dropout
22,27,0,6,Dropout
22,28,0,6,Graduate
22,1,0,6,Graduate
22,27,0,6,Graduate
22,27,0,6,Graduate
1,3,0,6,Dropout
22,27,0,7,Dropout
22,27,0,7,Graduate
13,15,0,5,Dropout
13,27,0,6,Dropout
13,28,0,7,Graduate
22,27,0,11,Graduate
22,27,0,5,Dropout
1,1,0,12,Graduate
23,28,0,7,Dropout
22,27,0,6,Dropout
13,14,0,6,Graduate
22,14,0,6,Graduate
1,14,0,6,Dropout
22,27,0,7,Graduate
22,27,0,6,Graduate
3,14,1,5,Graduate
3,5,1,4,Dropout
19,24,1,10,Graduate
22,3,1,5,Dropout
22,27,1,5,Graduate
22,27,1,5,Dropout
1,14,1,6,Graduate
13,1,0,7,Dropout
3,1,1,10,Dropout
1,1,1,5,Dropout
13,27,1,6,Graduate
23,1,1,6,Graduate
1,14,1,5,Graduate
11,9,1,5,Dropout
19,24,1,5,Dropout
22,27,1,15,Graduate
3,1,1,5,Graduate
1,3,1,6,Graduate
4,1,1,6,Graduate
13,27,1,5,Dropout
22,14,1,6,Dropout
19,24,1,5,Dropout
19,24,1,5,Graduate
22,28,1,5,Dropout
22,27,1,5,Dropout
22,27,1,2,Graduate
22,14,1,5,Graduate
23,28,1,7,Graduate
13,14,1,5,Graduate
13,27,1,5,Dropout
1,28,1,11,Graduate
20,25,1,6,Dropout
1,28,1,6,Graduate
1,1,1,5,Dropout
13,14,1,8,Graduate
1,1,1,6,Graduate
1,1,1,6,Dropout
2,2,1,6,Dropout
13,28,1,6,Dropout
1,3,0,7,Graduate
3,3,0,6,Graduate
1,3,0,6,Dropout
3,14,0,6,Graduate
22,27,0,6,Graduate
22,27,0,6,Graduate
1,14,0,6,Graduate
19,24,0,6,Dropout
23,1,0,6,Dropout
13,28,0,6,Dropout
3,4,0,0,Graduate
13,14,0,5,Graduate
1,3,0,6,Dropout
3,14,0,5,Graduate
22,27,0,8,Graduate
22,27,0,9,Graduate
13,27,0,8,Graduate
1,28,0,6,Graduate
13,14,0,7,Graduate
13,1,0,7,Graduate
1,28,0,5,Graduate
13,1,0,6,Dropout
22,28,0,5,Graduate
13,14,0,6,Graduate
22,1,0,5,Dropout
3,1,0,11,Graduate
13,27,0,6,Dropout
1,1,0,6,Graduate
1,28,0,8,Graduate
13,1,0,7,Graduate
26,3,0,8,Graduate
23,28,0,6,Graduate
23,28,0,7,Graduate
1,14,0,5,Dropout
18,14,0,5,Graduate
13,27,0,6,Graduate
13,14,0,7,Graduate
1,1,0,8,Graduate
1,14,0,5,Graduate
22,27,0,6,Graduate
1,27,0,5,Graduate
23,14,0,6,Dropout
1,28,0,6,Dropout
1,3,0,6,Graduate
1,28,0,2,Graduate
1,14,0,6,Graduate
22,27,0,8,Graduate
22,27,0,8,Graduate
23,28,0,7,Graduate
13,14,0,6,Graduate
1,14,0,5,Dropout
3,28,0,6,Dropout
2,1,0,8,Graduate
1,14,0,7,Graduate
23,28,0,7,Graduate
1,28,0,0,Graduate
13,27,0,7,Graduate
3,3,0,7,Dropout
3,3,0,6,Graduate
22,27,0,7,Graduate
13,14,0,7,Graduate
1,27,0,7,Dropout
1,28,0,7,Graduate
1,14,0,5,Dropout
13,14,0,8,Graduate
1,14,0,9,Dropout
13,14,0,6,Dropout
22,9,0,6,Graduate
13,1,0,8,Graduate
13,1,0,12,Dropout
23,27,0,7,Graduate
22,28,0,5,Graduate
1,14,0,7,Graduate
13,14,0,6,Graduate
1,1,0,8,Graduate
13,14,0,6,Graduate
3,3,0,5,Graduate
22,27,0,6,Graduate
13,14,0,6,Graduate
13,28,0,11,Dropout
22,27,0,6,Dropout
3,1,0,0,Dropout
1,27,0,7,Graduate
1,14,0,6,Graduate
13,14,0,6,Graduate
1,14,0,7,Graduate
