Mothers qualification,Fathers qualification,Gender,Curricular units 1st sem (enrolled),Target
22,14,1,5,Graduate
13,14,1,5,Dropout
1,1,1,0,Graduate
22,27,1,9,Dropout
1,1,1,6,Graduate
1,27,1,6,Graduate
23,27,1,5,Dropout
13,1,1,5,Dropout
3,1,1,5,Dropout
10,3,1,0,Dropout
22,27,1,10,Graduate
1,3,1,6,Dropout
1,14,1,6,Graduate
10,14,1,8,Dropout
1,1,1,5,Dropout
19,24,1,5,Dropout
23,28,1,6,Graduate
13,14,1,6,Dropout
19,24,1,10,Dropout
22,26,1,5,Dropout
19,1,1,4,Dropout
3,14,1,6,Graduate
25,1,1,7,Dropout
22,28,1,6,Dropout
22,27,1,7,Dropout
22,27,1,5,Dropout
23,27,1,6,Graduate
2,1,1,6,Dropout
22,27,1,6,Dropout
1,10,1,6,Dropout
23,1,1,6,Graduate
23,27,1,8,Graduate
23,14,1,8,Dropout
3,3,1,6,Dropout
1,14,0,7,Dropout
1,1,0,6,Dropout
13,1,0,6,Graduate
1,1,0,5,Graduate
3,27,0,5,Dropout
19,24,0,6,Dropout
19,27,0,6,Dropout
13,28,0,7,Graduate
1,1,0,6,Dropout
22,27,0,5,Dropout
22,1,0,14,Graduate
1,14,0,6,Graduate
22,27,0,5,Graduate
13,28,0,6,Graduate
23,28,0,6,Graduate
13,27,0,6,Graduate
23,28,0,7,Graduate
13,14,0,7,Graduate
13,14,0,7,Dropout
19,24,0,15,Dropout
22,28,0,6,Graduate
13,1,0,5,Dropout
13,28,0,6,Graduate
3,1,0,7,Graduate
23,28,0,6,Graduate
1,1,0,12,Graduate
23,28,0,7,Graduate
13,14,0,8,Graduate
1,1,0,6,Graduate
22,28,0,5,Graduate
13,27,0,11,Graduate
22,27,0,8,Graduate
1,14,0,7,Graduate
23,14,0,6,Graduate
23,28,0,6,Graduate
13,28,0,6,Graduate
13,14,0,7,Graduate
3,3,0,0,Graduate
1,14,0,8,Graduate
1,1,0,8,Dropout
13,28,0,6,Graduate
23,27,0,8,Graduate
1,14,0,7,Dropout
1,14,0,7,Graduate
23,14,0,6,Dropout
23,27,0,7,Graduate
13,28,0,6,Graduate
1,1,0,8,Graduate
22,28,0,6,Dropout
1,28,0,6,Dropout
3,1,0,5,Dropout
7,14,0,5,Dropout
22,27,0,5,Dropout
13,1,0,6,Graduate
22,27,0,6,Dropout
22,27,0,5,Dropout
13,14,0,6,Graduate
1,1,0,8,Graduate
23,28,0,6,Graduate
13,27,0,7,Dropout
1,28,0,6,Dropout
1,1,0,6,Graduate
1,28,0,6,Graduate
22,27,0,7,Graduate
22,28,0,7,Dropout
22,14,0,6,Graduate
1,14,0,6,Graduate
1,14,0,6,Dropout
13,1,0,7,Graduate
3,3,0,6,Dropout
1,14,0,0,Graduate
13,27,0,6,Graduate
3,3,0,7,Graduate
1,1,0,8,Graduate
22,28,0,8,Graduate
22,27,0,5,Dropout
13,1,0,6,Graduate
22,27,0,14,Graduate
22,28,0,6,Graduate
4,3,0,6,Graduate
22,27,0,5,Dropout
23,27,0,7,Graduate
22,27,0,10,Dropout
3,1,0,6,Graduate
22,27,0,1,Dropout
13,14,0,8,Graduate
23,14,0,8,Graduate
23,14,0,6,Graduate
22,27,0,6,Dropout
19,24,0,15,Dropout
23,14,0,5,Dropout
23,28,0,6,Graduate
1,27,0,18,Graduate
22,27,0,10,Dropout
23,27,1,6,Graduate
22,27,1,8,Graduate
22,27,1,0,Graduate
22,27,1,6,Dropout
22,27,1,7,Dropout
22,27,1,7,Dropout
13,28,1,6,Dropout
13,1,1,8,Graduate
1,1,1,5,Dropout
1,1,1,5,Dropout
1,1,1,6,Graduate
22,27,1,0,Dropout
22,27,1,5,Dropout
23,28,1,5,Dropout
22,27,1,5,Dropout
22,28,1,5,Graduate
23,14,1,6,Graduate
22,27,1,5,Dropout
22,27,1,5,Dropout
23,28,1,6,Graduate
1,14,1,5,Dropout
22,27,1,6,Dropout
22,10,1,6,Graduate
1,3,1,6,Graduate
1,1,1,6,Graduate
22,27,1,5,Dropout
22,27,1,6,Dropout
1,1,1,5,Graduate
1,1,1,7,Graduate
1,1,1,7,Dropout
13,14,1,0,Dropout
22,27,1,6,Dropout
9,9,1,5,Dropout
3,10,1,0,Dropout
23,28,1,5,Dropout
2,2,1,6,Dropout
22,27,1,10,Dropout
3,3,1,5,Graduate
22,27,1,17,Dropout
1,1,1,6,Graduate
13,28,1,6,Graduate
1,3,1,12,Dropout
2,4,1,7,Dropout
1,14,1,5,Dropout
3,1,1,6,Graduate
1,28,1,5,Graduate
19,24,1,6,Dropout
19,24,1,5,Dropout
1,4,1,15,Dropout
22,27,1,5,Dropout
23,14,1,5,Dropout
13,27,1,6,Dropout
1,14,1,6,Graduate
1,3,1,5,Dropout
23,27,1,6,Dropout
13,27,1,7,Graduate
13,28,1,7,Graduate
19,24,1,5,Dropout
22,27,1,6,Dropout
2,14,1,7,Graduate
22,27,1,6,Dropout
22,27,1,5,Dropout
13,27,1,5,Dropout
23,28,1,6,Graduate
1,1,1,6,Dropout
2,1,1,5,Graduate
1,27,1,6,Graduate
19,24,1,5,Dropout
3,28,1,6,Dropout
13,3,1,5,Dropout
1,3,1,5,Dropout
22,27,1,18,Graduate
13,14,1,5,Graduate
1,14,1,5,Graduate
3,1,1,6,Dropout
1,14,1,6,Graduate
1,28,1,5,Graduate
10,10,1,13,Dropout
1,28,1,6,Graduate
4,3,1,6,Graduate
1,1,1,5,Graduate
13,14,1,8,Dropout
1,3,1,6,Dropout
3,27,1,6,Graduate
13,1,1,6,Graduate
13,14,1,7,Graduate
23,27,1,5,Dropout
3,14,1,9,Graduate
13,27,1,7,Dropout
1,2,1,0,Dropout
1,2,1,12,Graduate
23,27,1,6,Graduate
1,3,1,5,Dropout
16,27,1,12,Dropout
13,28,1,6,Dropout
13,28,1,6,Dropout
13,28,0,6,Graduate
22,27,0,6,Graduate
4,14,0,11,Dropout
1,4,1,0,Dropout
2,1,1,6,Graduate
13,14,1,6,Graduate
13,1,1,6,Graduate
3,1,1,6,Graduate
1,1,1,7,Dropout
13,1,1,5,Dropout
1,1,1,6,Graduate
13,27,1,6,Dropout
1,10,1,5,Dropout
13,1,1,6,Dropout
13,28,0,6,Dropout
1,1,0,6,Graduate
13,27,0,6,Graduate
22,27,0,6,Dropout
1,14,0,7,Graduate
13,27,0,6,Graduate
3,14,0,6,Dropout
3,14,0,5,Graduate
19,24,0,7,Dropout
3,27,0,0,Dropout
13,14,0,6,Graduate
13,1,0,7,Graduate
23,14,0,6,Dropout
22,27,0,10,Graduate
3,28,0,5,Graduate
22,1,0,21,Graduate
3,14,0,6,Graduate
23,28,0,7,Graduate
1,14,0,6,Graduate
13,28,0,6,Graduate
22,27,0,6,Dropout
13,1,0,6,Graduate
1,27,0,5,Graduate
23,27,0,6,Graduate
26,1,0,6,Graduate
22,27,0,6,Dropout
13,28,0,8,Graduate
22,27,0,7,Dropout
1,28,0,12,Graduate
23,27,0,7,Graduate
1,14,0,6,Graduate
1,1,0,6,Graduate
1,14,0,5,Graduate
22,3,0,7,Graduate
13,27,0,5,Graduate
13,1,0,6,Dropout
3,3,0,6,Graduate
23,28,0,5,Graduate
23,27,0,7,Graduate
10,27,0,7,Dropout
22,17,1,10,Dropout
19,24,1,3,Dropout
13,14,0,6,Graduate
3,3,0,8,Graduate
1,3,0,12,Graduate
22,27,0,6,Graduate
13,27,0,6,Graduate
13,14,0,6,Graduate
1,1,0,6,Graduate
23,14,0,6,Graduate
22,14,0,11,Graduate
13,28,0,6,Dropout
1,14,0,6,Graduate
13,14,0,6,Graduate
22,28,1,0,Dropout
22,27,1,5,Dropout
13,2,1,0,Graduate
22,27,1,5,Dropout
1,1,1,6,Dropout
19,24,1,15,Dropout
13,28,1,5,Dropout
13,28,1,6,Graduate
13,1,1,5,Graduate
13,1,1,5,Dropout
23,27,1,6,Dropout
13,27,1,5,Dropout
1,1,1,0,Dropout
13,27,1,5,Dropout
22,27,1,6,Graduate
23,28,1,7,Graduate
3,1,1,5,Dropout
1,1,1,5,Dropout
22,27,1,5,Dropout
22,28,1,6,Graduate
1,14,1,5,Dropout
23,1,1,5,Graduate
22,27,1,0,Graduate
1,1,1,6,Dropout
1,14,1,5,Dropout
23,28,1,5,Graduate
13,28,1,0,Dropout
1,14,1,5,Dropout
22,27,1,7,Dropout
22,1,1,6,Dropout
4,4,1,5,Dropout
22,27,1,0,Graduate
1,28,1,5,Dropout
13,27,1,6,Dropout
22,27,1,6,Dropout
13,1,1,6,Dropout
1,1,1,5,Dropout
1,1,1,5,Dropout
1,1,1,10,Dropout
22,27,1,5,Dropout
23,1,1,6,Graduate
13,28,1,12,Graduate
23,28,1,12,Graduate
1,28,1,7,Graduate
23,28,1,12,Dropout
4,3,1,0,Graduate
22,27,1,6,Dropout
13,1,1,9,Dropout
23,27,1,7,Graduate
3,1,1,5,Graduate
22,27,1,5,Dropout
3,1,1,6,Dropout
13,28,0,6,Graduate
10,1,0,6,Dropout
3,1,0,0,Graduate
1,1,0,8,Graduate
24,3,0,5,Graduate
1,14,0,7,Dropout
3,14,0,6,Graduate
23,28,0,8,Graduate
3,1,0,12,Graduate
1,1,0,6,Graduate
22,27,0,7,Graduate
13,27,0,5,Dropout
3,1,0,7,Dropout
22,27,0,6,Graduate
1,3,0,7,Graduate
23,27,0,5,Dropout
22,27,0,15,Graduate
1,1,0,6,Dropout
13,28,0,6,Graduate
1,14,0,6,Graduate
13,28,0,6,Graduate
22,28,0,7,Graduate
23,27,0,6,Graduate
22,1,0,6,Dropout
1,1,0,6,Dropout
1,14,0,6,Dropout
1,1,0,6,Graduate
1,28,0,6,Graduate
22,27,0,6,Dropout
1,14,0,6,Graduate
22,27,0,5,Dropout
3,1,0,6,Graduate
13,2,0,6,Graduate
3,3,0,8,Graduate
1,28,0,6,Graduate
1,14,0,7,Graduate
22,14,0,10,Dropout
1,1,1,0,Dropout
23,28,1,6,Dropout
1,34,1,9,Dropout
13,14,1,7,Graduate
3,1,1,6,Dropout
13,1,1,5,Dropout
13,28,1,6,Dropout
13,14,1,5,Dropout
4,28,1,5,Graduate
1,14,1,6,Graduate
3,14,1,6,Dropout
13,28,1,6,Graduate
1,29,0,6,Dropout
19,14,0,6,Dropout
22,27,0,8,Graduate
23,27,0,9,Graduate
19,24,0,9,Graduate
1,14,0,5,Dropout
22,27,0,10,Dropout
19,27,0,6,Graduate
19,24,0,6,Graduate
19,24,0,18,Dropout
19,24,0,6,Dropout
22,27,0,8,Dropout
22,27,0,11,Graduate
13,14,0,14,Graduate
11,12,0,10,Graduate
13,14,1,6,Dropout
23,27,1,18,Graduate
13,27,1,6,Dropout
3,14,1,6,Dropout
1,28,1,6,Dropout
22,27,1,6,Graduate
23,14,1,6,Dropout
1,28,1,0,Dropout
22,27,1,6,Dropout
22,27,1,6,Graduate
10,1,1,5,Dropout
23,28,1,6,Dropout
1,1,1,8,Graduate
23,14,1,6,Dropout
1,14,1,6,Graduate
2,2,1,12,Dropout
1,3,1,4,Dropout
3,28,1,5,Dropout
23,1,1,5,Dropout
22,27,1,0,Dropout
3,1,1,6,Dropout
22,27,1,5,Dropout
6,9,1,5,Graduate
19,24,1,5,Dropout
22,28,1,6,Dropout
1,23,1,6,Dropout
22,27,1,10,Dropout
13,28,1,6,Graduate
22,14,1,5,Dropout
22,27,1,6,Dropout
22,27,1,6,Dropout
22,27,1,17,Dropout
22,20,1,6,Dropout
3,10,1,6,Graduate
22,27,1,6,Graduate
23,14,1,5,Graduate
23,14,1,5,Dropout
22,14,1,5,Dropout
22,14,1,6,Dropout
23,28,1,6,Dropout
13,28,1,6,Graduate
23,14,1,6,Graduate
3,14,1,6,Dropout
1,1,1,6,Dropout
22,27,1,7,Dropout
13,14,1,8,Graduate
1,14,1,6,Graduate
1,1,1,5,Dropout
1,27,1,6,Graduate
23,28,1,5,Graduate
1,14,1,7,Graduate
13,14,1,6,Dropout
1,1,1,5,Dropout
19,24,1,7,Dropout
1,1,0,7,Dropout
1,1,0,8,Graduate
23,27,0,7,Graduate
22,27,0,5,Graduate
13,10,0,6,Graduate
1,14,0,6,Graduate
22,28,0,6,Dropout
22,27,0,6,Graduate
1,27,0,8,Graduate
23,28,0,6,Graduate
23,28,0,5,Graduate
1,28,0,7,Graduate
1,1,0,5,Graduate
22,27,0,5,Dropout
23,27,1,7,Graduate
23,1,1,7,Graduate
22,27,0,6,Graduate
22,28,0,7,Graduate
23,27,0,5,Dropout
23,27,0,7,Dropout
22,27,0,6,Graduate
22,27,0,8,Graduate
23,28,0,6,Graduate
22,27,0,5,Dropout
22,14,0,6,Graduate
1,14,0,6,Graduate
15,21,0,5,Graduate
22,14,0,10,Dropout
22,27,0,5,Graduate
23,27,0,6,Graduate
13,10,0,6,Graduate
1,1,0,8,Graduate
23,1,0,6,Graduate
23,14,0,7,Graduate
13,14,0,6,Graduate
22,27,0,9,Graduate
13,1,0,8,Graduate
23,27,0,6,Dropout
13,27,0,0,Graduate
1,1,0,6,Graduate
3,1,0,6,Graduate
13,14,0,10,Graduate
23,28,0,6,Dropout
22,27,0,5,Dropout
13,1,0,7,Graduate
3,1,0,7,Graduate
13,4,0,7,Dropout
3,3,0,6,Graduate
1,1,0,5,Dropout
1,1,0,6,Dropout
22,27,0,6,Graduate
3,1,0,0,Graduate
23,27,0,7,Dropout
22,14,0,6,Graduate
1,14,0,5,Graduate
22,27,0,6,Dropout
6,19,0,5,Dropout
1,14,0,8,Graduate
22,9,0,5,Graduate
3,2,0,6,Dropout
1,14,0,7,Dropout
23,14,0,5,Graduate
22,28,0,5,Graduate
13,14,0,7,Graduate
23,27,0,6,Graduate
22,27,0,6,Dropout
22,1,0,26,Graduate
22,27,0,7,Graduate
13,28,0,12,Graduate
13,14,0,6,Dropout
13,14,0,8,Graduate
13,14,0,6,Dropout
3,14,0,6,Graduate
22,27,0,5,Graduate
22,27,0,6,Graduate
13,28,0,7,Graduate
22,27,0,5,Graduate
1,14,0,7,Graduate
13,28,0,5,Graduate
22,27,0,7,Graduate
13,14,0,7,Graduate
22,1,0,7,Graduate
13,14,0,7,Graduate
1,28,0,6,Graduate
25,4,0,6,Graduate
1,14,0,7,Graduate
23,28,0,6,Graduate
23,28,0,6,Dropout
22,28,0,6,Graduate
22,27,0,6,Graduate
1,1,0,7,Graduate
13,27,0,5,Graduate
23,14,0,16,Graduate
28,1,0,16,Graduate
13,27,0,7,Dropout
23,14,0,6,Graduate
22,27,0,6,Graduate
3,1,0,12,Graduate
22,27,0,5,Dropout
1,1,0,6,Dropout
13,14,0,7,Graduate
13,14,0,7,Dropout
1,28,0,7,Dropout
19,24,1,5,Dropout
3,3,1,5,Dropout
13,14,1,6,Graduate
22,27,1,7,Graduate
22,27,1,6,Graduate
22,27,1,6,Dropout
22,27,1,6,Graduate
1,27,1,6,Dropout
23,27,1,6,Dropout
23,1,1,5,Dropout
22,27,1,7,Dropout
22,14,0,6,Dropout
22,28,0,7,Graduate
13,28,0,7,Graduate
22,27,0,5,Dropout
13,1,0,6,Dropout
22,27,0,6,Dropout
23,28,0,6,Graduate
1,1,0,8,Graduate
3,1,0,5,Dropout
3,1,0,8,Graduate
13,14,0,5,Graduate
13,3,0,8,Dropout
22,27,0,12,Graduate
13,28,0,8,Dropout
1,28,0,6,Graduate
3,14,0,7,Dropout
23,27,0,5,Graduate
2,14,1,8,Graduate
3,3,1,0,Dropout
19,24,1,6,Dropout
13,14,1,6,Dropout
1,14,0,6,Graduate
1,14,0,6,Graduate
3,14,0,7,Graduate
3,1,0,5,Graduate
23,1,0,6,Graduate
13,14,0,6,Graduate
23,28,0,6,Graduate
13,28,0,7,Dropout
13,1,0,6,Graduate
1,1,0,8,Graduate
23,27,0,8,Graduate
1,14,0,7,Graduate
19,1,0,6,Dropout
23,14,0,6,Graduate
22,27,0,6,Dropout
22,27,0,6,Graduate
3,14,0,6,Dropout
1,1,0,6,Graduate
1,3,0,6,Graduate
13,14,0,6,Dropout
5,33,0,6,Graduate
2,1,0,5,Graduate
1,14,0,11,Graduate
1,27,0,5,Graduate
13,28,0,7,Graduate
23,1,0,6,Dropout
1,1,0,5,Graduate
2,3,0,6,Graduate
3,3,0,7,Graduate
1,28,0,6,Dropout
13,14,0,6,Graduate
23,27,0,7,Graduate
13,28,0,6,Dropout
13,28,0,8,Graduate
19,1,0,6,Dropout
23,14,0,5,Graduate
22,27,0,0,Dropout
3,14,0,5,Graduate
1,14,0,4,Dropout
1,27,0,6,Dropout
22,27,0,6,Graduate
19,24,0,7,Dropout
19,24,0,6,Graduate
22,28,0,5,Dropout
1,1,0,7,Dropout
22,28,0,6,Graduate
22,14,0,6,Graduate
23,27,0,7,Graduate
22,27,0,6,Graduate
22,27,0,14,Graduate
22,27,0,7,Dropout
23,24,0,1,Dropout
22,27,0,6,Graduate
22,27,0,6,Graduate
22,28,0,6,Graduate
23,14,1,5,Graduate
1,28,0,6,Graduate
22,14,0,8,Dropout
22,28,0,8,Graduate
1,14,0,6,Graduate
23,14,0,8,Graduate
13,27,0,7,Graduate
23,27,0,8,Graduate
23,27,0,7,Dropout
2,1,0,6,Graduate
1,27,0,8,Graduate
2,1,0,5,Graduate
1,28,0,6,Graduate
13,1,0,8,Graduate
1,1,0,6,Graduate
13,14,0,6,Graduate
22,27,0,7,Graduate
23,28,0,6,Graduate
23,28,0,12,Graduate
22,27,0,7,Graduate
22,27,0,7,Graduate
13,1,0,8,Graduate
19,28,0,6,Graduate
23,28,0,6,Graduate
1,28,0,8,Graduate
22,27,0,6,Graduate
22,27,0,6,Dropout
23,14,0,6,Graduate
19,24,0,6,Dropout
3,5,0,3,Dropout
19,24,0,6,Graduate
13,1,0,6,Dropout
22,28,0,7,Dropout
23,27,0,14,Graduate
19,18,0,6,Graduate
22,27,0,6,Graduate
8,14,0,5,Graduate
22,14,0,6,Dropout
3,14,0,6,Graduate
3,1,0,5,Dropout
3,27,0,7,Graduate
13,14,0,6,Graduate
22,27,0,6,Graduate
13,16,0,6,Dropout
13,28,0,6,Graduate
22,28,0,0,Dropout
13,14,0,7,Graduate
13,28,0,6,Graduate
19,28,0,6,Graduate
22,27,0,4,Dropout
22,27,0,7,Graduate
22,27,0,6,Graduate
23,14,0,8,Graduate
13,1,0,6,Graduate
13,28,0,7,Graduate
3,14,0,7,Graduate
22,27,0,6,Dropout
29,30,0,7,Dropout
23,28,0,5,Graduate
23,28,0,6,Graduate
22,28,0,6,Graduate
22,1,0,5,Graduate
23,27,0,14,Graduate
22,27,0,10,Dropout
1,4,0,6,Graduate
23,28,0,5,Dropout
22,27,0,6,Graduate
13,27,0,8,Graduate
1,1,0,6,Graduate
23,28,0,8,Graduate
22,27,0,5,Graduate
22,27,0,6,Graduate
13,28,0,6,Graduate
19,28,0,6,Dropout
1,27,0,7,Graduate
13,14,0,6,Graduate
23,27,0,7,Graduate
1,28,0,0,Dropout
22,27,1,5,Graduate
13,1,0,6,Graduate
13,27,0,6,Graduate
1,1,0,6,Graduate
13,27,0,6,Graduate
23,27,0,7,Graduate
13,27,0,0,Dropout
1,27,0,4,Dropout
1,2,0,6,Graduate
22,27,0,6,Graduate
19,28,0,5,Dropout
22,27,0,6,Graduate
13,1,0,6,Graduate
13,28,0,6,Graduate
23,14,0,7,Graduate
23,14,0,6,Graduate
13,1,0,6,Dropout
23,1,0,6,Graduate
21,26,0,5,Dropout
3,3,0,7,Graduate
1,28,0,6,Dropout
23,28,0,8,Graduate
23,14,1,6,Graduate
23,14,1,5,Dropout
3,2,0,6,Graduate
1,1,0,6,Graduate
22,27,0,8,Dropout
13,28,0,6,Dropout
3,3,0,12,Dropout
13,27,0,7,Dropout
23,14,0,15,Dropout
22,27,0,6,Graduate
1,1,0,7,Dropout
22,27,0,10,Graduate
22,27,0,8,Dropout
7,16,0,5,Dropout
13,14,0,5,Graduate
13,27,0,7,Dropout
22,27,0,5,Dropout
2,3,0,16,Dropout
1,14,0,8,Graduate
13,14,0,8,Graduate
22,14,0,6,Dropout
22,27,0,6,Dropout
22,27,0,12,Dropout
1,27,0,5,Graduate
22,1,1,5,Dropout
22,14,1,6,Graduate
1,14,1,6,Graduate
1,1,1,6,Graduate
5,1,1,5,Dropout
22,28,1,6,Graduate
1,3,1,5,Dropout
1,14,1,8,Graduate
1,14,1,5,Dropout
13,27,1,5,Dropout
1,1,1,6,Graduate
13,1,1,6,Dropout
13,27,1,5,Dropout
22,27,1,5,Dropout
23,14,1,5,Dropout
22,14,1,5,Graduate
1,1,1,5,Graduate
1,3,1,6,Dropout
13,1,1,6,Graduate
1,10,1,14,Graduate
1,28,1,0,Graduate
1,1,1,7,Graduate
13,14,1,6,Dropout
23,27,1,18,Graduate
1,28,1,7,Graduate
23,27,1,6,Graduate
13,14,1,5,Dropout
23,28,1,5,Dropout
1,27,1,6,Graduate
23,27,1,0,Dropout
22,27,1,15,Dropout
1,1,1,6,Dropout
13,1,1,5,Dropout
13,3,1,5,Dropout
13,1,1,5,Dropout
19,24,1,0,Dropout
1,1,1,0,Dropout
1,14,1,6,Graduate
23,27,1,6,Graduate
13,14,1,5,Dropout
2,29,1,21,Graduate
22,27,1,5,Dropout
1,3,1,6,Dropout
28,3,1,6,Graduate
1,14,1,6,Graduate
1,1,0,12,Graduate
13,28,1,6,Graduate
1,1,0,6,Dropout
22,27,0,5,Dropout
13,14,0,8,Graduate
13,28,0,14,Graduate
13,27,0,6,Dropout
22,27,0,5,Dropout
23,22,0,7,Dropout
22,1,0,6,Graduate
1,27,0,6,Dropout
22,14,0,0,Dropout
22,1,0,6,Graduate
13,28,0,6,Dropout
23,14,0,6,Graduate
1,14,0,5,Graduate
3,27,0,14,Graduate
2,3,0,5,Graduate
13,27,0,8,Graduate
19,24,0,5,Dropout
23,27,0,6,Dropout
1,14,0,6,Graduate
10,14,0,6,Dropout
1,1,0,5,Dropout
3,1,0,7,Graduate
23,14,0,8,Graduate
3,1,0,6,Graduate
1,1,0,6,Graduate
23,28,0,6,Dropout
3,1,0,0,Graduate
4,14,0,5,Graduate
22,27,0,6,Dropout
13,27,0,6,Dropout
22,27,0,6,Dropout
1,14,0,6,Graduate
13,27,0,7,Graduate
3,3,0,8,Graduate
1,28,0,5,Graduate
19,24,0,6,Dropout
23,28,1,0,Graduate
3,14,1,6,Graduate
13,14,1,6,Graduate
22,27,1,5,Dropout
1,3,1,0,Graduate
23,14,1,7,Graduate
10,10,1,6,Dropout
22,27,0,8,Graduate
22,27,0,5,Dropout
23,1,0,7,Graduate
22,27,0,15,Dropout
22,27,0,7,Graduate
22,27,0,5,Dropout
23,27,0,8,Dropout
1,1,0,8,Graduate
22,27,0,6,Graduate
22,24,0,6,Dropout
13,14,0,6,Dropout
22,28,0,5,Dropout
22,27,0,5,Dropout
22,27,0,13,Dropout
13,14,0,6,Graduate
23,28,0,5,Graduate
23,28,0,5,Graduate
23,1,0,8,Graduate
19,24,0,6,Dropout
13,27,0,6,Graduate
23,28,0,5,Graduate
22,14,0,6,Graduate
22,27,1,5,Dropout
13,27,1,5,Dropout
1,1,1,7,Graduate
2,1,1,6,Dropout
22,27,1,8,Graduate
1,14,1,6,Graduate
22,27,1,6,Dropout
22,27,1,5,Graduate
22,14,1,6,Graduate
22,27,1,6,Dropout
3,28,0,5,Graduate
22,27,0,7,Dropout
23,28,0,14,Graduate
1,1,0,6,Graduate
3,28,1,7,Graduate
1,1,1,6,Graduate
1,1,0,6,Dropout
22,27,0,7,Dropout
22,27,0,5,Graduate
23,27,0,6,Graduate
